issue_number,issue_id,title,body_excerpt,html_url,state,created_at,closed_at,maintainer_labels,ground_truth,confidence,label_source,source_signals,rationale
244,243964439,how to enable monitoring on an existing droplet using doctl command,"Yes it is possible to --enable-monitoring during machine creation using doctl command. However, I have a use case where the machine is created in some other manner. And do need a way to enable monitoring using the doctl command on the dr...",https://github.com/digitalocean/doctl/issues/244,closed,2017-07-19T08:39:46Z,2017-07-19T10:45:33Z,,question,1.000,manual_override,"[""manual_override""]",User asks how to enable monitoring on an existing droplet using doctl.
247,248750000,firewall rule with ports all,Seems impossible to create firewall that allows all outbound tcp traffic. `doctl firewall list` shows `ports:0` for manually created firewalls that allow traffic in all ports. Example: ``` % doctl compute firewall add-rules 2ec347d4-e3a6...,https://github.com/digitalocean/doctl/issues/247,closed,2017-08-08T15:14:21Z,2017-08-08T15:22:27Z,,bug,1.000,manual_override,"[""manual_override""]",User reports firewall rule behavior that appears impossible despite equivalent manually-created rules.
258,263202366,Ability to interact with Spaces,"I know the decision in https://github.com/digitalocean/godo/issues/150 was that the Spaces API would not be included due to the sheer number of tools/libraries that interact with the S3/S3 compatible API's already. With that being said, ...",https://github.com/digitalocean/doctl/issues/258,open,2017-10-05T17:16:38Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:ability to"", ""title_signal:enhancement:ability to"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:ability to; title_signal:enhancement:ability to; clean_single_primary_label.
263,265539373,ubuntu/xenial64: doctl compute ssh: Error: fork/exec /usr/bin/ssh: permission denied,Using `vagrant init ubuntu/xenial64` and running `doctl compute ssh 66376976` I get: `Error: fork/exec /usr/bin/ssh: permission denied` ssh using `ssh` directly works fine,https://github.com/digitalocean/doctl/issues/263,closed,2017-10-15T02:12:56Z,2019-05-31T18:20:58Z,bug;packaging;wip,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:,permission denied"", ""title_signal:bug:error:,permission denied"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:,permission denied; title_signal:bug:error:,permission denied; clean_single_primary_label."
271,271936185,Document how to re-image a droplet using doctl,"I need to re-image servers using doctl, but I don't see any documentation on how to do this. Example please?",https://github.com/digitalocean/doctl/issues/271,closed,2017-11-07T18:30:04Z,2017-11-07T19:01:36Z,,documentation,0.900,keyword,"[""text_signal:documentation:\\bexamples?\\b,document how,documentation"", ""title_signal:documentation:document how"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.90. Signals: text_signal:documentation:\bexamples?\b,document how,documentation; title_signal:documentation:document how; high_specific_text:documentation."
279,279600608,How to list image slugs for DO-provided distros?,"I'm trying to launch a vanilla ubuntu server via terraform. I've tried multiple permutations of `doctl compute image list-*`, to get the id (or the slug) but only my own images show up. IIRC, the standard DO-provided distros used to show...",https://github.com/digitalocean/doctl/issues/279,closed,2017-12-06T02:12:14Z,2017-12-08T20:59:53Z,,question,1.000,manual_override,"[""manual_override""]",User asks how to list image slugs for DO-provided distributions.
281,281662597,How to doctl auth init without input prompt?,"I want to **eliminate** the prompt input of the API token when initializing the authentication. I have tried all of the following command formats, but failed - it always prompt me to input the token. `doctl auth init --access-token ThisI...",https://github.com/digitalocean/doctl/issues/281,closed,2017-12-13T08:26:53Z,2017-12-13T14:07:21Z,,question,0.800,keyword,"[""text_signal:question:how to,please help"", ""title_signal:question:how to"", ""high_specific_text:question""]","Assigned question from keyword with confidence 0.80. Signals: text_signal:question:how to,please help; title_signal:question:how to; high_specific_text:question."
288,287794156,Getting a list of my Droplets into one file? ,"Hi All, Does anyone know how to get a list of all VM droplets into one file? Ideally, it would be great to get all VMs with the following details: - Name - RAM - Hard Drive - Created date Thanks in advance.",https://github.com/digitalocean/doctl/issues/288,closed,2018-01-11T13:55:11Z,2018-01-22T16:26:55Z,,question,1.000,manual_override,"[""manual_override""]",User asks how to export droplet information into a file.
293,298134468,"Using doctl, is there a way to see logs from the Load Balancers that we setup?","Hi there: I seem to be getting errors from my DO Load Balancer when I enable Cloud Firewall rules on my Droplets. That said, I do not seem to have a way to see what is erroring out? Any chance we could see the error logs from the load ba...",https://github.com/digitalocean/doctl/issues/293,closed,2018-02-19T00:34:58Z,2018-02-23T21:12:06Z,,question,1.000,manual_override,"[""manual_override""]",User asks whether load balancer error logs can be viewed through doctl.
298,309197538,unknown flag: --tag-names,"I get the feeling that this isn't a bug but something I do not completely understand about Tags. I have created a bash script which creates my droplets. One of the variables in my script are ""TAGS"", my script checks if the variable is bl...",https://github.com/digitalocean/doctl/issues/298,closed,2018-03-28T02:19:58Z,2018-05-10T15:44:44Z,question,question,0.750,maintainer_label,"[""primary_maintainer_label:question"", ""clean_single_primary_label""]",Assigned question from maintainer_label with confidence 0.75. Signals: primary_maintainer_label:question; clean_single_primary_label.
308,316074108,Fail authenticate,I can't connect my terminal to digital ocean for use doctl. Can you help me ? ![image](https://user-images.githubusercontent.com/5904891/39023188-78d26fc4-4439-11e8-9ae9-ee3b5951e81a.png),https://github.com/digitalocean/doctl/issues/308,closed,2018-04-19T23:23:34Z,2018-04-26T17:50:22Z,question,question,0.750,maintainer_label,"[""primary_maintainer_label:question"", ""clean_single_primary_label""]",Assigned question from maintainer_label with confidence 0.75. Signals: primary_maintainer_label:question; clean_single_primary_label.
309,316654640,How to keep only 12 snapshots?,"This script works so far: ``` #!/bin/bash # script to create digitalocean droplet snapshot using their CLI, doctl. # Function to set variable for snapshot name as date/time of creation. timestamp() { NAME=$(date) } timestamp doctl comput...",https://github.com/digitalocean/doctl/issues/309,closed,2018-04-23T04:02:42Z,2018-04-26T17:54:37Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:\\bcan i\\b,how can i,how to"", ""title_signal:question:how to"", ""high_specific_text:question"", ""clean_single_primary_label""]","Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:\bcan i\b,how can i,how to; title_signal:question:how to; high_specific_text:question."
311,319181336,Make doctl available as a Flatpak,"Since Flatpak is more or less the native app container solution on Fedora, it would be nice if doctl was available as a flatpak so that Fedora users don't have to have both flatpak and snap installed on their system in order to install/u...",https://github.com/digitalocean/doctl/issues/311,open,2018-05-01T12:02:19Z,,packaging;suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:make doctl available,package manager,would be nice"", ""title_signal:enhancement:make doctl available"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:make doctl available,package manager,would be nice; title_signal:enhancement:make doctl available; clean_single_primary_label."
317,323718631,Acting on tagged droplets,"Can we add the ability to run droplet actions on droplets by tags? So the usage would be: ``` $ doctl compute droplet-action <droplet-action> (<droplet-id> | --tag <tag>) ``` In the case both a tag flag and a droplet ID arg are provided,...",https://github.com/digitalocean/doctl/issues/317,open,2018-05-16T17:35:57Z,,api-parity;enhancement,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:api-parity,enhancement"", ""text_signal:enhancement:\\bimplement\\b,ability to"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:api-parity,enhancement; text_signal:enhancement:\bimplement\b,ability to; clean_single_primary_label."
335,342189851,Feature Request: doctl compute domain create <domain> --droplet-name <droplet-name>,Currently I see no way to fetch and store the IP address from a newly created droplet in order to automate the droplet creation and setting up a domain. My suggestion is this; add the functionality to specify a droplet name when you are ...,https://github.com/digitalocean/doctl/issues/335,open,2018-07-18T06:11:55Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:feature request"", ""title_signal:enhancement:feature request"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:feature request; title_signal:enhancement:feature request; clean_single_primary_label.
336,346989448,How to properly move config.yaml to another computer?,The `config.yaml` on my computer has multiple DigitalOcean accounts set up in it and I want to move the config file to another computer so that I won't have to configure `doctl` from scratch again. After I copied `config.yaml` from my co...,https://github.com/digitalocean/doctl/issues/336,closed,2018-08-02T12:26:55Z,2019-06-20T23:30:48Z,question;waiting-response,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:how do i,how to"", ""title_signal:question:how to"", ""high_specific_text:question"", ""clean_single_primary_label""]","Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:how do i,how to; title_signal:question:how to; high_specific_text:question."
345,360201202,Allow configuring defaults per context,"Right now we can use the context parameter to create different auth-contexts on the `config.yaml`, which already helps a lot, but I have a few suggestions on top of that: 1) Although stateless has it's advantages, it'd be nice to have an...",https://github.com/digitalocean/doctl/issues/345,open,2018-09-14T08:12:58Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\ballow\\b,ability to,would be nice"", ""title_signal:enhancement:\\ballow\\b"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\ballow\b,ability to,would be nice; title_signal:enhancement:\ballow\b; clean_single_primary_label."
346,362983219,Showing the complete CLI usage help screen when a non-usage error occurred is confusing,"For errors occurring that are _not_ related to an illegitimate usage, _doctl_ shows the full usage screen nevertheless. For instance, here is an example of a doctl run (indirectly through https://github.com/caglar10ur/dok8s) that eventua...",https://github.com/digitalocean/doctl/issues/346,closed,2018-09-23T22:29:24Z,2019-08-14T19:47:01Z,enhancement,enhancement,1.000,manual_override,"[""manual_override""]",Maintainer-labeled enhancement; proposes changing error handling to omit full usage help for non-usage errors.
367,381391055,Custom image support,It would be great to have support for managing custom images from doctl. It looks like your API supports at the very least uploading from a URI but doctl doesn't yet support that. It would be nice to be able to use doctl to integrate cus...,https://github.com/digitalocean/doctl/issues/367,closed,2018-11-16T00:01:02Z,2019-10-28T14:27:39Z,api-parity,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:api-parity"", ""text_signal:enhancement:support for,would be nice"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:api-parity; text_signal:enhancement:support for,would be nice; clean_single_primary_label."
389,393256296,kubernetes flags error,"Hi! I'm trying to execute ``` doctl kubernetes cluster create k8s-play --node-pool 'name=sys-service;size=s-1vcpu-2g;count=3' ``` but get error ``` Error: flags ""size"" and ""count"" cannot be provided when ""node-pool"" is present ``` Is it ...",https://github.com/digitalocean/doctl/issues/389,closed,2018-12-20T23:51:32Z,2019-01-13T22:59:21Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:\\bwrong\\b,error:"", ""clean_single_primary_label""]","Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:\bwrong\b,error:; clean_single_primary_label."
400,401334533,Automatic self-upgrades ,"Since this isn't packaged per distribution and primarily distributed via github releases, it would be great for it to be aware of the current released version. Adding an argument such as `doctl update` to find out if you are current woul...",https://github.com/digitalocean/doctl/issues/400,closed,2019-01-21T12:36:22Z,2019-07-29T23:29:42Z,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:\\bimplement\\b"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:\bimplement\b; clean_single_primary_label.
409,414521429,Handling multiple doctl config,"I access multiple digitalocean account, what is right way to handle it up ? Currently I copy the original config, change access token and use softlink for point to correct config. Is there something like profile to access multiple account ?",https://github.com/digitalocean/doctl/issues/409,closed,2019-02-26T09:50:53Z,2019-03-06T10:16:04Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:what is"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:what is; clean_single_primary_label.
417,420000129,Is it possible to resize Kubernetes cluster,Unclear if I can use the command: ```sh doctl kubernetes cluster update ``` to resize the cluster,https://github.com/digitalocean/doctl/issues/417,closed,2019-03-12T13:56:10Z,2019-04-23T15:42:08Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:is it possible"", ""title_signal:question:is it possible"", ""high_specific_text:question"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:is it possible; title_signal:question:is it possible; high_specific_text:question.
437,441326622,Kubernetes cluster deletion leaves dangling loadbalancer(s),"## What happens The following sequence of steps should reproduce the problem: ``` doctl kubernetes cluster create meow ``` Wait for cluster provisioning to finish, then: ``` kubectl --context=do-nyc1-meow apply -f https://raw.githubuserc...",https://github.com/digitalocean/doctl/issues/437,closed,2019-05-07T16:30:51Z,2019-05-07T17:29:45Z,,bug,1.000,manual_override,"[""manual_override""]",Cluster deletion leaves dangling load balancers contrary to expected cleanup behavior.
449,449189768,Feature Request: Add custom known_hosts file to doctl compute ssh,"As the title already says, I'd like to specify a custom `known_hosts` file as I would do with ```bash > ssh -o UserKnownHostsFile=/tmp/known_hosts user@123.123.123.123 ``` Currently the `doctl compute ssh` command does not support this. ...",https://github.com/digitalocean/doctl/issues/449,open,2019-05-28T10:27:36Z,,suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:suggestion"", ""text_signal:enhancement:feature request"", ""title_signal:enhancement:feature request"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:suggestion; text_signal:enhancement:feature request; title_signal:enhancement:feature request; clean_single_primary_label.
475,461060999,Provide instructions with permission denied error when using Snap without SSH key access,"**Problem** When installed as an Ubuntu snap, doctl needs to be explicitly given permission to access SSH keys for use with the `doctl compute ssh` sub-command. For details, see: https://github.com/digitalocean/doctl#using-doctl-compute-...",https://github.com/digitalocean/doctl/issues/475,closed,2019-06-26T16:09:31Z,2019-12-10T16:26:19Z,snap,documentation,0.900,keyword,"[""text_signal:documentation:\\bdocs\\b,\\bexamples?\\b,\\binstructions\\b,readme"", ""title_signal:documentation:\\binstructions\\b"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.90. Signals: text_signal:documentation:\bdocs\b,\bexamples?\b,\binstructions\b,readme; title_signal:documentation:\binstructions\b; high_specific_text:documentation."
481,463305487,Provide instructions with permission denied error when using Snap without kubeconfig access,**Problem** Similar to #475. Looks like [we will not be given](https://forum.snapcraft.io/t/personal-files-request-for-doctl-was-classic-confinement-request-doctl/11785/12) auto-connect for write access to kubeconfig. When installed as a...,https://github.com/digitalocean/doctl/issues/481,closed,2019-07-02T15:48:04Z,2019-12-09T23:23:03Z,snap,documentation,0.900,keyword,"[""text_signal:documentation:\\bdocs\\b,\\bexamples?\\b,\\binstructions\\b,readme"", ""title_signal:documentation:\\binstructions\\b"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.90. Signals: text_signal:documentation:\bdocs\b,\bexamples?\b,\binstructions\b,readme; title_signal:documentation:\binstructions\b; high_specific_text:documentation."
493,468347587,The floating IP already has a pending event.,"Hi there~ When I'm deleting a floating ip right after it's unassigned from a droplet, the following error occurred: `Error: DELETE https://api.digitalocean.com/v2/floating_ips/xxx.xxx.xxx.xx: 422 The floating IP already has a pending eve...",https://github.com/digitalocean/doctl/issues/493,closed,2019-07-15T21:38:38Z,2019-07-16T07:32:33Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:workaround"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:workaround; clean_single_primary_label.
535,476240218,Howto create af load balancer for HTTP and HTTPS?,"I am trying to create a load balancer with `doctl` version `1.26.0`, it creates the load balancer, but does not create the HTTPS passthrough rule. Command used: ```bash doctl compute load-balancer create --name example.org-development-sw...",https://github.com/digitalocean/doctl/issues/535,closed,2019-08-02T15:36:14Z,2019-08-02T17:16:27Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:what is"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:what is; clean_single_primary_label.
567,489090571,Wrong Disk size and number of VCPU's upon droplet creation,"I don't know if anyone has noticed this, or is having the same issue, but upon the creation of a droplet using doctl on all of my Linux boxes, lately, I always seem to get the wrong Disk size and/or number of VCPU established with the dr...",https://github.com/digitalocean/doctl/issues/567,closed,2019-09-04T11:01:03Z,2019-09-04T18:52:19Z,question,bug,1.000,manual_override,"[""manual_override""]","Although maintainer-labeled as question, the issue reports repeated wrong disk/vCPU sizing and billing-impacting droplet creation behavior."
640,505357617,[Question] How to re-use token between calls,"Hello, I want to deploy into a kubernetes cluster from a CD/CI. For doing that, I'm installing `doctl` and setup an API token with `Read/Write` permissions as `DIGITALOCEAN_ACCESS_TOKEN`. ![Screenshot 2019-10-10 at 17 41 33](https://user...",https://github.com/digitalocean/doctl/issues/640,closed,2019-10-10T15:46:11Z,2019-10-10T20:39:10Z,question,question,1.000,maintainer_label+keyword,"[""primary_maintainer_label:question"", ""text_signal:question:how to"", ""title_signal:question:how to"", ""clean_single_primary_label""]",Assigned question from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:question; text_signal:question:how to; title_signal:question:how to; clean_single_primary_label.
655,506770819,Create sftp command,It would be great if you could implement an SFTP command similar to the `doctl compute ssh droplet_id_or_name` Command: `doctl compute sftp droplet_id_or_name`,https://github.com/digitalocean/doctl/issues/655,open,2019-10-14T17:00:47Z,,enhancement;suggestion,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:enhancement,suggestion"", ""text_signal:enhancement:\\bimplement\\b"", ""clean_single_primary_label""]","Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:enhancement,suggestion; text_signal:enhancement:\bimplement\b; clean_single_primary_label."
668,512219579,Kubernetes cluster creation flag bug,Having some problems with the 1.33.0 release of doctl whereby I can't create an autoscaling cluster the way I did in 1.32.3. I think the issue lies with the changes made at this line: https://github.com/digitalocean/doctl/blob/3dd3c26542...,https://github.com/digitalocean/doctl/issues/668,closed,2019-10-24T22:56:00Z,2019-10-28T23:23:33Z,bug,bug,1.000,maintainer_label+keyword,"[""primary_maintainer_label:bug"", ""text_signal:bug:error:"", ""clean_single_primary_label""]",Assigned bug from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:bug; text_signal:bug:error:; clean_single_primary_label.
672,513343246,Create image command needs better help menu,"When trying to create a custom image, I got this error: ``` $ doctl compute image create \ --region sfo2 \ --image-name talos-digital-ocean-tutorial \ --image-url https://talos-tutorial.sfo2.digitaloceanspaces.com/digital-ocean.tar.gz \ ...",https://github.com/digitalocean/doctl/issues/672,closed,2019-10-28T14:33:40Z,2019-10-29T22:45:16Z,,documentation,0.900,keyword,"[""text_signal:documentation:\\busage\\b,help menu,tutorial"", ""title_signal:documentation:help menu"", ""high_specific_text:documentation""]","Assigned documentation from keyword with confidence 0.90. Signals: text_signal:documentation:\busage\b,help menu,tutorial; title_signal:documentation:help menu; high_specific_text:documentation."
708,530833583,Allow rebuild action to take user-data and user-data-file,Is it possible to have the --user-data and --user-data-file flag work with Droplet rebuild actions For example instead of running this command: `doctl compute droplet action rebuild <droplet-id> <image-id>` We can have: `doctl compute dr...,https://github.com/digitalocean/doctl/issues/708,open,2019-12-02T01:09:35Z,,do-api;enhancement,enhancement,1.000,maintainer_label+keyword,"[""primary_maintainer_label:enhancement"", ""text_signal:enhancement:\\ballow\\b"", ""title_signal:enhancement:\\ballow\\b"", ""clean_single_primary_label""]",Assigned enhancement from maintainer_label+keyword with confidence 1.00. Signals: primary_maintainer_label:enhancement; text_signal:enhancement:\ballow\b; title_signal:enhancement:\ballow\b; clean_single_primary_label.
