issue_number,title,body_excerpt,html_url,state,maintainer_labels,predicted_candidate_label,confidence,reason
66,support for inline repl/shell?,"Would it be possible to have something equivalent to a shell for this tool? I find myself typing `doctl compute droplet <action>` a lot, and it'd be nice if I could do something like `cd compute/droplet` or `cd compute` and then just `dr...",https://github.com/digitalocean/doctl/issues/66,closed,,,0.000,no_high_confidence_signal
67,git-style aliases,"## What Allow git-style aliases for commands. ## Why Some commands are more frequently used than others by users, so allowing people to alias them to their convenience will provide a more ergonomic experience. ## How Possible impl: - Add...",https://github.com/digitalocean/doctl/issues/67,closed,,,0.000,no_high_confidence_signal
71,OSX zsh error after tar ball install,"after following the basic install (download tar, extract) Running ``` ./doctl auth login ``` Produces ``` zsh: exec format error: ./doctl ```",https://github.com/digitalocean/doctl/issues/71,closed,,,0.000,no_high_confidence_signal
75,Ephemeral Access Token,"After authenticating using: doctl auth login --access-token {string} The `doctl auth login` doesn't' work. you still get: > Error: access token is required when trying to run `doctl compute droplet list` or most of the commands. To list,...",https://github.com/digitalocean/doctl/issues/75,closed,,,0.000,no_high_confidence_signal
76,auth login does not open a new browser tab,Is anyone else finding that typing `doctl auth login` does not open a new browser window but outputs the usage and the error: ``` Error: access token is required ``` … well I thought that was what this command was suppose to figure out f...,https://github.com/digitalocean/doctl/issues/76,closed,,,0.000,no_high_confidence_signal
77,SSH Agent Forwarding,"First and foremost, this tool is great and it makes my work a lot easier! Thank you! One of the things I use quite often is SSH agent forwarding (`ssh -A user@server`) for example for deployment tasks. I wonder if it would be possible to...",https://github.com/digitalocean/doctl/issues/77,closed,,,0.000,no_high_confidence_signal
78,droplet list for larger number of droplets contains duplicates,"![image](https://cloud.githubusercontent.com/assets/1100763/15457019/14e065c6-204f-11e6-8e6f-284abf8bd402.png) Intuitively, I would guess there is a bug in the way pagination is expanded.",https://github.com/digitalocean/doctl/issues/78,closed,bug,bug,0.750,over_max_per_class
81,SSH user argument ignored,"I would like to use a different user to ssh into my droplet, but I also use a different ssh key, my line is: ``` doctl compute ssh <my_droplet> --ssh-key-path <mykey> --ssh-user <my_user> ``` but the connection made to the droplet uses `...",https://github.com/digitalocean/doctl/issues/81,closed,,,0.000,no_high_confidence_signal
82,doctl compute images list-user returns distributions,"Line 52 of commands/images.go has a bug: `cmdImagesListUser := CmdBuilder(cmd, RunImagesListDistribution,`",https://github.com/digitalocean/doctl/issues/82,closed,,,0.000,no_high_confidence_signal
83,doctl didn't create $HOME/.doctlcfg file,"No sure why, but ran the following command after installing `doctl` using Homebrew (Mac OS, El Capitan, v10.11.5). ``` BASH doctl auth login -t (my token) ``` Output: `updated access token` But no `.doctlcfg` file was created in $HOME.",https://github.com/digitalocean/doctl/issues/83,closed,,,0.000,no_high_confidence_signal
84,my digital ocean account droplet 600 list but doctl compute droplet list @ max 400 list,,https://github.com/digitalocean/doctl/issues/84,closed,,,0.000,no_high_confidence_signal
86,address droplets by name,"currently every action (shutdown, snapshot etc) needs the ID as parameter. this is not very practical for scripting things like this. Will it be possible to give these actions the Name of the droplet as parameter? shutdown_and_update.sh ...",https://github.com/digitalocean/doctl/issues/86,closed,,,0.000,no_high_confidence_signal
89,Add a way to see private IP of the machine,"I have a scenario, when I need to generate SSL certificates for a bunch of machines in the cluster. It would be nice if the output of `doctl compute droplet [create|list]` included the private ip (provided `--enable-private-networking` w...",https://github.com/digitalocean/doctl/issues/89,closed,,,0.000,no_high_confidence_signal
90,Bash Completion,"Feature request: We need bash completion... doctl <tab> should show compute, account, auth ...",https://github.com/digitalocean/doctl/issues/90,closed,,,0.000,no_high_confidence_signal
94,Replace `doctl auth login` with `doctl auth init`,The `doctl auth login` process has a few issues that doesn't allow it to work the same way on every platform. I'm proposing we replace this with a `doctl auth init` that will take a DO token on the command line and do the initial configu...,https://github.com/digitalocean/doctl/issues/94,closed,,,0.000,no_high_confidence_signal
95,Add template support to customize outputs,"Using Go templates, expose the raw response to the end user, so outputs can be customized. As an example, if you retrieve a droplet with `doctl compute droplet get 1234`, you could retrieve the droplet creation time with `doctl compute d...",https://github.com/digitalocean/doctl/issues/95,closed,,,0.000,no_high_confidence_signal
96,Allow jsonpath traversals through doctl output,"Add a jsonpath option to allow easy retrieval of specific data from a doctl response. Example: `doctl compute get 1234 --jsonpath ""Networks.V4""` would return the IPv4 networks block from the JSON response. JSON output is assumed with the...",https://github.com/digitalocean/doctl/issues/96,closed,,,0.000,no_high_confidence_signal
101,`doctl auth login` doesn't work on Mac,"Contrary to the tutorial [here](https://www.digitalocean.com/community/tutorials/how-to-use-doctl-the-official-digitalocean-command-line-client), `doctl auth login` only returns `Error: access token is required`, if there's no config fil...",https://github.com/digitalocean/doctl/issues/101,closed,,,0.000,no_high_confidence_signal
102,doctl compute droplet find,please add command: doctl compute droplet find ABCD To find matching droplet with **partial name** or **ip** or **tags**,https://github.com/digitalocean/doctl/issues/102,closed,,,0.000,no_high_confidence_signal
106,--user-data-file not used?,"Created a droplet with the --user-data-file argument with a local file containing a few lines of shell code, which normally works when used from the control panel. The data doesn't seem to be used.",https://github.com/digitalocean/doctl/issues/106,closed,,,0.000,no_high_confidence_signal
107,Tag droplet returns 404 error,Running the command: `doctl compute droplet tag <droplet-name or droplet-id> --tag-name mytag` returns the error message: `Error: POST https://api.digitalocean.com/v2/tags/testing/resources: 404 The resource you were accessing could not ...,https://github.com/digitalocean/doctl/issues/107,closed,,,0.000,no_high_confidence_signal
108,[Suggestion] notify/callback option when --wait omitted,"This is probably not specific for `doctl` itself, but also the API. I think it could be useful if you start creating a droplet, and don't want to wait until it's finished, if you could have it notify you by e-mail once it's done creating...",https://github.com/digitalocean/doctl/issues/108,closed,,,0.000,no_high_confidence_signal
109,Confirm before delete droplet,Feature request: We need a confirmation before delete (or any other critical action) a droplet. 😰,https://github.com/digitalocean/doctl/issues/109,closed,,,0.000,no_high_confidence_signal
112,SSH Client doesn't work on Windows,"It happens on current master (a57555c), when trying to connect to a droplet from Windows 10 in VirtualBox. There are 2 different problems: **1/ When trying to connect with a SSH key that isn't password protected, the error is**: ``` doct...",https://github.com/digitalocean/doctl/issues/112,closed,,,0.000,no_high_confidence_signal
114,color support does not work in Windows,Color support isn't working in windows.,https://github.com/digitalocean/doctl/issues/114,closed,,,0.000,no_high_confidence_signal
115,godo user agent should match the bin version,"godo is reporting `User-Agent: godo/0.1.0`, it should be reporting the current version.",https://github.com/digitalocean/doctl/issues/115,closed,,,0.000,no_high_confidence_signal
116,Allow specification of hypervisor id when creating droplets,Customers can buy an entire HV. Allow specification of the hypervisor id when creating droplets.,https://github.com/digitalocean/doctl/issues/116,closed,,,0.000,no_high_confidence_signal
120,Ubuntu - no tab autocomplete,A standard thing I very frequently use with tools is the tab autocomplete options...unfortunately this tool doesn't support that. Is it on the roadmap anywhere?,https://github.com/digitalocean/doctl/issues/120,closed,,,0.000,no_high_confidence_signal
124,invalid json output for multiple droplet creation,"I ran this: ``` doctl compute droplet create test1 test2 --wait --output json --region lon1 --size 512mb --image ubuntu-14-04-x64 ``` ...and I got the below. Note the `][` right in the middle - should instead just be `,`. ``` [ { ""id"": 2...",https://github.com/digitalocean/doctl/issues/124,closed,,,0.000,no_high_confidence_signal
128,Does not compatible with macOS 10.12,"``` Warning: You are using OS X 10.12. We do not provide support for this pre-release version. You may encounter build failures or other breakages. Please create pull-requests instead of filing issues. ==> Upgrading 1 outdated package, w...",https://github.com/digitalocean/doctl/issues/128,closed,,,0.000,no_high_confidence_signal
129,Error GET ... Looks like something went wrong,"I've tried to create snapshot: ``` # doctl compute droplet-action snapshot $DROPLET_ID --snapshot-name ""$DROPLET_NAME-$date_tag"" ``` After that I see in actions: ``` # doctl compute action list 131781197 errored snapshot 2016-08-12 09:21...",https://github.com/digitalocean/doctl/issues/129,closed,,,0.000,no_high_confidence_signal
130,Update Brew Issue,The docs on the DO site show stuff for the new release. But a old one os delivered via brew. Maybe get this to a newer state,https://github.com/digitalocean/doctl/issues/130,closed,,,0.000,no_high_confidence_signal
133,Ability to delete multiple snapshots,"Being billing will begin on October 1st for customers storing snapshots. It would be beneficial to allow doctl to permit to delete multiple snapshots at once. Much like you can do with droplets. At the moment, we have noticed attempting ...",https://github.com/digitalocean/doctl/issues/133,closed,,,0.000,no_high_confidence_signal
136,doctl integration with snap package manager (not only for Ubuntu[1]),"It is possible to package doctl using snap. Advantages: - you can advertise the rigorous application isolation; - it will update automatically and transactionally; - for example, after an update, if the new release is broken the user can...",https://github.com/digitalocean/doctl/issues/136,closed,,,0.000,no_high_confidence_signal
137,Add filtering to volume lists,"I can use `doctl compute droplet list` to get a list of all droplets and I can use `doctl compute droplet list dropletname` to get just a single droplet. Likewise I can do `doctl compute volume list` to get a list of all volumes, but I c...",https://github.com/digitalocean/doctl/issues/137,closed,enhancement,enhancement,0.750,over_max_per_class
141,[Idea] Add SCP command do doctl,"I'm thinking about idea of implementing `scp` into `doctl`, so you can easy upload or download files from your droplet. It will help DigitalOcean users to have one tool, which does everything, from managing droplets, images... to SSH acc...",https://github.com/digitalocean/doctl/issues/141,closed,,,0.000,no_high_confidence_signal
142,Unexpected print to stdout make the output not good for pipe,"when creating droplet, the stdout print `extracting volumes from []string{}` while I would do ``` doctl compute droplet create ...... -o json | a-script-to-extract-json ``` I have to ``` doctl compute droplet create ...... -o json | tail...",https://github.com/digitalocean/doctl/issues/142,closed,,,0.000,no_high_confidence_signal
145,droplet tag - The resource you were accessing could not be found,"Hi, tagging droplets via the website works great, but when I'm trying to tag and untag a droplet using `doctl` I'm getting a `Error: POST https://api.digitalocean.com/v2/tags/digitalocean/resources: 404 The resource you were accessing co...",https://github.com/digitalocean/doctl/issues/145,closed,,,0.000,no_high_confidence_signal
147,go get not working,``` $ go get github.com/digitalocean/doctl/cmd/doctl # cd /opt/go/src/github.com/digitalocean/doctl; git submodule update --init --recursive fatal: no submodule mapping found in .gitmodules for path 'vendor/github.com/vektra/errors' pack...,https://github.com/digitalocean/doctl/issues/147,closed,,,0.000,no_high_confidence_signal
149,fatal error: unexpected signal during runtime execution,On OSX 10.12 (Sierra) I get will run doctl command and get an error. Then I run it again and it works. ``` clemenko13:Desktop clemenko$ doctl compute droplet list fatal error: unexpected signal during runtime execution [signal 0xb code=0...,https://github.com/digitalocean/doctl/issues/149,closed,,,0.000,no_high_confidence_signal
150,git: no submodule mapping found in .gitmodules,"Hi, I tried `go get github.com/digitalocean/doctl/cmd/doctl`, occur error. the log is below. FYI, it's the first fetch and also tried `rm -rf doctl` and re-fetch use `git` directly. same results. ``` bash fatal: no submodule mapping foun...",https://github.com/digitalocean/doctl/issues/150,closed,,,0.000,no_high_confidence_signal
156,Improve get droplet template,Ease use of template format by passing the droplet struct to parser,https://github.com/digitalocean/doctl/issues/156,closed,,,0.000,no_high_confidence_signal
162,Notice: extracting volumes from []string{} message when building. ,This message appears now with doctl 1.5.0 - darwin. I am running macOS Sierra 10.12.1. ``` clemenko13:~ clemenko$ doctl compute droplet create ucp1 --region nyc2 --image centos-7-0-x64 --size 2gb --ssh-keys 30:98:4f:c5:47:c2:88:28:fe:3c:...,https://github.com/digitalocean/doctl/issues/162,closed,,,0.000,no_high_confidence_signal
167,allow ``ssh-user`` and ``ssh-port`` to be specified in config file,"We are using non standard ssh port and non-root user to admin all machines, we need to specify them via command line every time we want to ``doctl compute ssh``.",https://github.com/digitalocean/doctl/issues/167,closed,,,0.000,no_high_confidence_signal
168,pass ssh command line down to the actual ssh,Right now ``doctl compute ssh droplet`` simply ignores all command line args specified so things like these do not work: ``` $ doctl compute ssh mydroplet uptime $ doctl compute ssh mydroplet free ``` I think it would be cool to add abil...,https://github.com/digitalocean/doctl/issues/168,closed,,,0.000,no_high_confidence_signal
172,[Idea] Add list of resources that will be deleted before asking for confirmation,"Now, when you execute command like `doctl compute droplet delete 1`, you'll see: `Warning: Are you sure you want to delete droplet(s) (y/N) ? y`. But that's all. If you used `--force` flag, you'll neither see confirmation which is OK. Mi...",https://github.com/digitalocean/doctl/issues/172,closed,,,0.000,no_high_confidence_signal
176,Some output is forced to use white color,"The help messages include some parts in white, even when background is white. It is very hard to read. Example (see last line): --- ![whitetext](https://cloud.githubusercontent.com/assets/37484/21599140/e8e2820c-d15f-11e6-9d01-8823a8bfcf...",https://github.com/digitalocean/doctl/issues/176,closed,,,0.000,no_high_confidence_signal
181,"""Error: ssh: no key found"" when adding ssh-key","When adding an new ssh key into DO, I got the `Error: ssh: no key found` error. This is on macOS 10.12.2. Full output (token censored): ``` /tmp$ ssh-keygen -t ed25519 -f id_ed25519 -C """" -N """" Generating public/private ed25519 key pair....",https://github.com/digitalocean/doctl/issues/181,closed,,,0.000,no_high_confidence_signal
182,add monitoring to doctl,doesn't appear to be a way to add monitoring when creating a droplet in doctl.,https://github.com/digitalocean/doctl/issues/182,closed,,,0.000,no_high_confidence_signal
189,"Help dialog for ""droplet get"" is missing required droplet-id arg",The 1.5.0 Linux amd64 doctl binary seems to be missing the required argument `<droplet-id>`. ``` [jyundt@laptop tmp]$ wget https://github.com/digitalocean/doctl/releases/download/v1.5.0/doctl-1.5.0-linux-amd64.tar.gz --2017-02-05 18:58:5...,https://github.com/digitalocean/doctl/issues/189,closed,,,0.000,no_high_confidence_signal
192,doctl compute image-action transfer returns: 404 The specified action type is not available.,"Maybe I'm doing something wrong but `doctl compute image-action transfer -o json --region sgp1 my-image-id` returns: ``` $ doctl compute image-action transfer -o json --region sgp1 12345 {""errors"":[{""detail"":""could not transfer image: PO...",https://github.com/digitalocean/doctl/issues/192,closed,,,0.000,no_high_confidence_signal
198,Public images listed by default,Public images should only be listed when using the `--public` flag: ```bash $ doctl compute image list ID Name Type Distribution Slug Public Min Disk 23176823 1325.2.0 (beta) snapshot CoreOS coreos-beta true 20 6372321 5.10 x64 snapshot ...,https://github.com/digitalocean/doctl/issues/198,closed,,,0.000,no_high_confidence_signal
200,doctl/do: missing api calls,"I've found out that few API calls are missing from `doctl` as well as the `doctl/do`, mostly action related. ## General: - [x] Create `doctl/do` endpoints - [ ] Implement `doctl/commands` commands ## `doctl/do` ### DropletActions All `By...",https://github.com/digitalocean/doctl/issues/200,closed,,,0.000,no_high_confidence_signal
205,--volumes requires a UUID while all other options can handle names/slugs,I recently tried building a droplet using the following cli: ``` doctl compute droplet create meenirx --enable-ipv6 \ --enable-private-networking --image freebsd-11-0-x64-zfs \ --size 512mb --ssh-keys 1234567 --volumes volume-fra1-01 \ -...,https://github.com/digitalocean/doctl/issues/205,closed,,,0.000,no_high_confidence_signal
207,Cannot detach a volume from a droplet?,I have a droplet with a volume attached. I'm trying to detach the droplet and cannot with the command below. Am I doing something wrong? Thanks! ``` $ doctl compute volume list ID Name Size Region Droplet IDs 11180985-XXXX-XXXX-XXXX-0242...,https://github.com/digitalocean/doctl/issues/207,closed,,,0.000,no_high_confidence_signal
212,doctl should error when enabling monitoring on unsupported images,"I understand that the monitoring feature that has been [recently announced][1] is not supported on base images such as Fedora. However, if I `doctl compute d c XX --enable-monitoring --ssh-keys keyid ....`, it does create the droplet and...",https://github.com/digitalocean/doctl/issues/212,closed,,,0.000,no_high_confidence_signal
213,Show features enabled in droplet list table,"I was experimenting with monitoring on DigitalOcean and released that doctl doesn't explicitly show what features are enabled on the droplet. I think it would be nice if when listing the droplets, it shows which droplets have which featu...",https://github.com/digitalocean/doctl/issues/213,closed,,,0.000,no_high_confidence_signal
216,accept name of ssh key when specifying --ssh-keys from cli,Having to find the fingerprint and provide that to `doctl` is a bit of a pain. It would be a much better user experience if I were able to use the name of my key in the digitalocean interface instead of the fingerprint of the public key ...,https://github.com/digitalocean/doctl/issues/216,closed,,,0.000,no_high_confidence_signal
218,doctl/do/mocks: regenerating mocks causes tests to fail for load balancers,"Using the [`regenmocks.sh`](https://github.com/digitalocean/doctl/blob/master/scripts/regenmocks.sh) script provided with `doctl` causes Load Balancer tests to fail. Offended functions have one thing in general, they're using String Slic...",https://github.com/digitalocean/doctl/issues/218,closed,,,0.000,no_high_confidence_signal
219,Set TTL for domain record creation.,Is it possible to set the TTL when creating a domain record? current : `doctl compute domain records create shirtmullet.com --record-type A --record-name flask --record-data $server` would like : `doctl compute domain records create shir...,https://github.com/digitalocean/doctl/issues/219,closed,,,0.000,no_high_confidence_signal
227,Missed domain ID in compute domain command output,It looks like all `compute domain` commands family misses domain ID in their output: Env: OS: macOS 10.12.4 doctl: 1.6.0-release (via homebrew) ``` $ doctl compute domain list Domain TTL foo.com 1800 bar.net 1800 $doctl compute domain ge...,https://github.com/digitalocean/doctl/issues/227,closed,,,0.000,no_high_confidence_signal
230,Feature Request: Suggested doctl CLI Command from Create Droplet UI,"Similar to how GCP has a suggested ""oh you could use this command to create the same thing using `gcloud`"" link at the bottom of their VM instance create page, it would be great to have a suggested `doctl` command at the bottom of the cr...",https://github.com/digitalocean/doctl/issues/230,closed,,,0.000,no_high_confidence_signal
240,config.yaml file path on Windows,Looks like doctl use hardcoded path on user profile folder in its code. So on Windows XP it saves config.yaml in «C:\Users\Crow\AppData\Local\doctl\config\» folder (in my case) instead of «C:\Documents and Settings\MSI U100-455RU\Applica...,https://github.com/digitalocean/doctl/issues/240,closed,,,0.000,no_high_confidence_signal
242,Managing Firewalls and Network Resources,"Hi, Is there anyway to manage firewalls (CRUD) and other Network Resources using Doctl? Thanks!",https://github.com/digitalocean/doctl/issues/242,closed,,,0.000,no_high_confidence_signal
246,Default configuration path is inconsistent,"I am using version 1.7.0 on Linux. When ```$XDG_CONFIG_HOME``` is unset, doctl reads the configuration from ```$HOME/.config/doctl/config.yaml```. But when ```XDG_CONFIG_HOME=$HOME/.config```, doctl reads the configuration from ```$HOME/...",https://github.com/digitalocean/doctl/issues/246,closed,,,0.000,no_high_confidence_signal
248,doctl firewall and load-balancer create sometimes fail,`doctl compute load-balancer create` and `doctl compute firewall create` fail randomly one time out of a hundred. Example: ``` doctl compute load-balancer create --name foo-lb-mutant-production --algorithm round_robin --region ams3 --tag...,https://github.com/digitalocean/doctl/issues/248,closed,,,0.000,no_high_confidence_signal
250,Zsh completion,"Feature request: Zsh completion, similar to bash completion solved in #90",https://github.com/digitalocean/doctl/issues/250,closed,,,0.000,no_high_confidence_signal
251,doctl image list returns empty result,`doctl compute image list` returns no results: `ID Name Type Distribution Slug Public Min Disk` `doctl version` returns: `doctl version 1.7.0-release`,https://github.com/digitalocean/doctl/issues/251,closed,,,0.000,no_high_confidence_signal
252,401 Unable to authenticate you.,``` $ doctl auth init DigitalOcean access token: 1234 Validating token... OK $ doctl compute ssh-key list Error: GET https://api.digitalocean.com/v2/account/keys?page=1&per_page=200: 401 Unable to authenticate you. ```,https://github.com/digitalocean/doctl/issues/252,closed,,,0.000,no_high_confidence_signal
253,Transfer ownership of doctl snap to you,"[Previously](https://github.com/digitalocean/doctl/issues/136), snap support was discussed, and the [yaml](https://github.com/digitalocean/doctl/blob/master/snap/snapcraft.yaml) is now upstream. We have a snap in the store, which is main...",https://github.com/digitalocean/doctl/issues/253,closed,packaging,,0.000,only_secondary_labels
255,Would be nice if region list displayed available features,It would be nice if the region list command listed if the region list command displayed the available features for each region as reported by the [API](https://developers.digitalocean.com/documentation/v2/#regions). One big thing that wo...,https://github.com/digitalocean/doctl/issues/255,closed,,,0.000,no_high_confidence_signal
257,Misleading error messages when trying to create a Droplet with invalid SSH keys,Trying to create a droplet with `doctl` giving it fingerprints for SSH keys not attached to the account that I'm currently trying to us results in a misleading error message. Here is the command string I was trying to run ``` doctl compu...,https://github.com/digitalocean/doctl/issues/257,closed,wip,,0.000,only_secondary_labels
261,doctl compute image list-distribution command does not work,Hi there. Brand new user of doctl. I was looking to run a command to get the list of slugs for the various distributions that DO offers. Running the following command returns blank: doctl compute image list-distribution OR doctl compute ...,https://github.com/digitalocean/doctl/issues/261,closed,,,0.000,no_high_confidence_signal
265,"Feature Request: droplet-action by hostname, when possible","currently, if I need to bounce my box, I need two commands to reboot ``` # Find the int ID of the droplet doctl compute droplet ls | grep ""example.com"" # Use the ID above to run command on example.com (id 123456) doctl compute droplet-ac...",https://github.com/digitalocean/doctl/issues/265,closed,,,0.000,no_high_confidence_signal
266,Feature Request: Multiple Accounts,"I am not sure what it would look like for the command syntax, but multiple accounts would be an excellent feature. Personally, I set up all my clients on their own DO account, for billing purposes, so doctl is borderline unusable for qui...",https://github.com/digitalocean/doctl/issues/266,closed,,,0.000,no_high_confidence_signal
269,"error: snap ""doctl"" not found","Ubuntu 16.04 32 bit Why I am getting this error> error: snap ""doctl"" not found",https://github.com/digitalocean/doctl/issues/269,closed,,,0.000,no_high_confidence_signal
272,doctl compute droplet list: Support matching multi tags,Hello `doctl compute droplet list` currently only support matching a single tag. Could it be extended to support matching multi tags? I want to get the droplet with tag `k8s` (Kubernetes node) and `master` (Kubernetes master node). \- Kr...,https://github.com/digitalocean/doctl/issues/272,closed,,,0.000,no_high_confidence_signal
274,snaphots have a Name but no Slug,"it makes it tricky to treat a Snapshot the same as an Image, because it's currently not possible to set a snapshot's Slug (and the name is copied over). This also means that when passing a snapshot for the --image parameter, we need to r...",https://github.com/digitalocean/doctl/issues/274,closed,,,0.000,no_high_confidence_signal
275,Publish doctl to Docker Hub,"Is there any reason this isn't auto-published to Docker Hub on release? I'm unclear on why it needs to be built locally, it'd be great if I could just `docker run digitalocean/doctl`",https://github.com/digitalocean/doctl/issues/275,closed,packaging,,0.000,only_secondary_labels
276,why is there a sha256 mismatch for darwin 1.7.1?  and linux amd64,I tried download darwin 1.7.1 and the hash does not match. This is on a mac. **Disclaimer: I could very well have checked this incorrectly.** ```` (env) jluc@Downloads$ ls | grep darwin -rw-r--r--@ 1 jluc staff 72 28 Nov 14:28 doctl-1.7....,https://github.com/digitalocean/doctl/issues/276,closed,,documentation,0.700,below_min_confidence
283,doctl releases,Any plans to enhance the `doctl version` command to behave like `gcloud version` command so that it will automatically prompt if there was a newer version available and allow it to be updated. It would make it easier to ensure that we ar...,https://github.com/digitalocean/doctl/issues/283,closed,,,0.000,no_high_confidence_signal
