model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,DigitalOcean-hosted,llama,model,digitalocean,1738947921,text,chat_completions,true,true,false,false,false,false,false,32678,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
deepseek-v4-pro,deepseek-v4-pro,DigitalOcean-hosted,deepseek,model,digitalocean,1777633630,text,chat_completions,true,true,false,false,false,false,false,1048576,1048576,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
gemma-4-31B-it,gemma-4-31B-it,DigitalOcean-hosted,gemma,model,digitalocean,1776195691,text,chat_completions,true,true,false,false,false,false,false,256000,8192,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
glm-5,glm-5,DigitalOcean-hosted,glm,model,digitalocean,1773360634,text,chat_completions,true,true,false,false,false,false,false,128000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
kimi-k2.5,Kimi K2.5,Moonshot AI,kimi,model,digitalocean,1773347767,text,chat_completions,true,true,false,false,false,false,false,256000,32768,0.5,2.7,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: large DigitalOcean-hosted model from a different provider family. Standard pricing used; off-peak pricing intentionally ignored for apples-to-apples comparison.,2026-06-10T21:01:37.812921Z
kimi-k2.6,kimi-k2.6,DigitalOcean-hosted,kimi,model,digitalocean,1778000987,text,chat_completions,true,true,false,false,false,false,false,262144,262144,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
llama-4-maverick,Llama 4 Maverick,Meta,llama,model,digitalocean,1776729457,text,chat_completions,true,true,false,false,false,false,false,128000,16384,0.25,0.87,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: modern Llama model with larger context and moderate pricing.,2026-06-10T21:01:37.812921Z
llama3.3-70b-instruct,Llama 3.3 70B Instruct,Meta,llama,model,digitalocean,1736801780,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.65,0.65,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: classic 70B instruct baseline and strong open-model reference.,2026-06-10T21:01:37.812921Z
minimax-m2.5,minimax-m2.5,DigitalOcean-hosted,minimax,model,digitalocean,1773360634,text,chat_completions,true,true,false,false,false,false,false,200000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
mistral-3-14B,Mistral 3 14B,Mistral AI,mistral,model,digitalocean,1776471052,text,chat_completions,true,true,false,false,false,false,false,262144,,0.2,0.2,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: small instruct model to test the small-model quality floor.,2026-06-10T21:01:37.812921Z
nemotron-3-nano-omni,nemotron-3-nano-omni,DigitalOcean-hosted,nemotron,model,digitalocean,1777148824,text,chat_completions,true,true,false,false,false,false,false,65536,65536,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nemotron-3-ultra-550b,nemotron-3-ultra-550b,DigitalOcean-hosted,nemotron,model,digitalocean,1780548582,text,chat_completions,true,true,false,false,false,false,false,131072,131072,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nemotron-nano-12b-v2-vl,nemotron-nano-12b-v2-vl,DigitalOcean-hosted,nemotron,model,digitalocean,1777025607,text,chat_completions,true,true,false,false,false,false,false,128000,16384,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
nvidia-nemotron-3-super-120b,NVIDIA Nemotron 3 Super 120B,NVIDIA,nemotron,model,digitalocean,1773783814,text,chat_completions,true,true,false,false,false,false,false,1000000,32768,0.3,0.65,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: large DigitalOcean-hosted NVIDIA model with moderate price.,2026-06-10T21:01:37.812921Z
openai-gpt-4.1,openai-gpt-4.1,OpenAI,openai,model,openai,1753359599,text,chat_completions,true,true,false,false,false,false,false,1047576,32768,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-4o,openai-gpt-4o,OpenAI,openai,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,128000,16384,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-4o-mini,OpenAI GPT-4o Mini,OpenAI,gpt-4o,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,128000,16384,0.15,0.6,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: low-cost commercial reference widely used for classification-like workloads.,2026-06-10T21:01:37.812921Z
openai-gpt-5,openai-gpt-5,OpenAI,openai,model,openai,1754595084,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5-mini,OpenAI GPT-5 Mini,OpenAI,gpt-5,model,openai,1757445018,text,chat_completions,true,true,false,false,false,false,false,400000,128000,0.25,2.0,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Frontier-reference smoke-pool candidate: commercial higher-capability mini model for quality uplift reference.,2026-06-10T21:01:37.812921Z
openai-gpt-5-nano,OpenAI GPT-5 Nano,OpenAI,gpt-5,model,openai,1757445022,text,chat_completions,true,true,false,false,false,false,false,400000,128000,0.05,0.4,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: very low-cost commercial model and cheap baseline.,2026-06-10T21:01:37.812921Z
openai-gpt-5.1-codex-max,openai-gpt-5.1-codex-max,OpenAI,openai,model,openai,1769527931,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.2,openai-gpt-5.2,OpenAI,openai,model,openai,1769527931,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.2-pro,openai-gpt-5.2-pro,OpenAI,openai,model,openai,1770208836,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.3-codex,openai-gpt-5.3-codex,OpenAI,openai,model,openai,1772046998,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4,openai-gpt-5.4,OpenAI,openai,model,openai,1772819368,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-mini,openai-gpt-5.4-mini,OpenAI,openai,model,openai,1774645563,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-nano,openai-gpt-5.4-nano,OpenAI,openai,model,openai,1774645564,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-pro,openai-gpt-5.4-pro,OpenAI,openai,model,openai,1774645563,text,chat_completions,true,true,false,false,false,false,false,1050000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.5,openai-gpt-5.5,OpenAI,openai,model,openai,1777317140,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-oss-120b,OpenAI GPT-OSS 120B,OpenAI,gpt-oss,model,digitalocean,1754595080,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.1,0.7,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Balanced smoke-pool candidate: larger OSS model from the gpt-oss family for comparison against 20B.,2026-06-10T21:01:37.812921Z
openai-gpt-oss-20b,OpenAI GPT-OSS 20B,OpenAI,gpt-oss,model,digitalocean,1754595075,text,chat_completions,true,true,false,false,false,false,false,128000,4096,0.05,0.45,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Cost-efficient smoke-pool candidate: very low-cost open-weight model to test whether small OSS is enough for issue classification.,2026-06-10T21:01:37.812921Z
openai-o1,openai-o1,OpenAI,openai,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-o3,openai-o3,OpenAI,openai,model,openai,1751565087,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-o3-mini,openai-o3-mini,OpenAI,openai,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
qwen3-coder-flash,qwen3-coder-flash,DigitalOcean-hosted,qwen,model,digitalocean,1776366668,text,chat_completions,true,true,false,false,false,false,false,262144,65536,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
qwen3.5-397b-a17b,Qwen3.5 397B A17B,Alibaba/Qwen,qwen,model,digitalocean,1776379991,text,chat_completions,true,true,false,false,false,false,false,131072,81920,0.55,3.5,DigitalOcean Inference Pricing docs,2026-06-10,false,true,smoke_eligible,,Large smoke-pool candidate: high-capability Qwen-family model for quality-oriented non-frontier comparison.,2026-06-10T21:01:37.812921Z
